# T        m        E       c       chi
1.500000000000000000e+00 9.862703999999999915e-01 -2.468963200000000143e+03 4.918845257941219629e+00 1.066105130666701985e-03
1.550000000000000044e+00 9.836307199999999584e-01 -2.415130799999999908e+03 5.596485183945430819e+00 1.284572133576320245e-03
1.600000000000000089e+00 9.802383999999999542e-01 -2.424128400000000056e+03 6.325367397497755562e+00 1.587407960001660512e-03
1.649999999999999911e+00 9.751344000000000678e-01 -2.406356800000000021e+03 7.428617722827761227e+00 2.216437100604198938e-03
1.699999999999999956e+00 9.700588799999999567e-01 -2.368338000000000193e+03 8.375930186838015601e+00 2.635871840376868055e-03
1.750000000000000000e+00 9.630755199999999627e-01 -2.340114000000000033e+03 9.959358746129639783e+00 4.059704581852293694e-03
1.800000000000000044e+00 9.571308800000000172e-01 -2.316469999999999800e+03 1.108284320988128968e+01 4.589640311463632528e-03
1.850000000000000089e+00 9.491033600000000625e-01 -2.286109599999999773e+03 1.203171001128727013e+01 5.585700387975987141e-03
1.899999999999999911e+00 9.387638400000000161e-01 -2.308815999999999804e+03 1.317683483657125265e+01 6.733328479663056032e-03
1.949999999999999956e+00 9.266655999999998672e-01 -2.186167199999999866e+03 1.575217193068249522e+01 9.680306674875467643e-03
2.000000000000000000e+00 9.159299199999999530e-01 -2.252612399999999980e+03 1.738557766240090174e+01 1.178226820992001045e-02
2.049999999999999822e+00 8.922655999999998810e-01 -2.180839199999999892e+03 2.063146549301939103e+01 2.524086459317437942e-02
2.100000000000000089e+00 8.686812800000000001e-01 -2.187338400000000092e+03 2.450747832597619791e+01 5.019727525668699064e-02
2.149999999999999911e+00 8.272412799999999677e-01 -2.034271600000000035e+03 2.871334068958278607e+01 6.062941274374038236e-02
2.200000000000000178e+00 7.854636799999999974e-01 -2.040135600000000068e+03 3.441689266644664258e+01 1.274467590097459468e-01
2.250000000000000000e+00 7.611184000000000838e-01 -1.996241600000000062e+03 3.263163756594245513e+01 8.998868192710994529e-02
2.299999999999999822e+00 -5.312044800000000899e-01 -1.865087199999999939e+03 4.691835460234751309e+01 1.577062800477495363e+00
2.350000000000000089e+00 -5.390086399999999278e-01 -1.844453600000000051e+03 3.530041138643643706e+01 8.859832346101111922e-01
2.399999999999999911e+00 1.186233599999999971e-01 -1.564761600000000044e+03 3.065426087111053732e+01 1.585433826982399985e+00
2.450000000000000178e+00 -3.008896000000000834e-02 -1.423487200000000030e+03 2.457322406437230455e+01 1.022453922184881403e+00
2.500000000000000000e+00 5.718783999999999673e-02 -1.445439599999999928e+03 2.158868193177729822e+01 7.440446474813440236e-01
2.549999999999999822e+00 3.765055999999999958e-02 -1.406584000000000060e+03 1.876416851364875171e+01 5.717721198792785620e-01
2.600000000000000089e+00 2.477823999999999305e-02 -1.273045200000000023e+03 1.797262223053188634e+01 5.836065332932922622e-01
2.649999999999999911e+00 5.521983999999999920e-02 -1.206362800000000107e+03 1.772471214615766044e+01 4.492697949280604619e-01
2.700000000000000178e+00 -4.109184000000000447e-02 -1.255171199999999999e+03 1.437623204696867063e+01 3.220684404205036988e-01
2.750000000000000000e+00 -1.486751999999999692e-02 -1.138873199999999997e+03 1.382379224732641276e+01 2.553664190640873022e-01
2.799999999999999822e+00 9.766399999999960703e-04 -1.206301600000000008e+03 1.358508692571432697e+01 3.004044116992001245e-01
2.850000000000000089e+00 -6.603519999999999009e-03 -1.097913199999999961e+03 1.291268484215528645e+01 2.243113817860490911e-01
2.899999999999999911e+00 -9.219520000000000146e-03 -1.088466400000000021e+03 1.136830283491014093e+01 1.765495051290483230e-01
2.950000000000000178e+00 2.835199999999998225e-03 -1.093001999999999953e+03 1.078476665785744260e+01 1.670787040759321995e-01
