# T        m        E       c       chi
1.500000000000000000e+00 9.862703999999999915e-01 -2.468963200000000143e+03 1.967538103176487696e-01 2.665262826666755028e-02
1.550000000000000044e+00 9.836307199999999584e-01 -2.415130799999999908e+03 2.238594073578172305e-01 3.211430333940800547e-02
1.600000000000000089e+00 9.802383999999999542e-01 -2.424128400000000056e+03 2.530146958999102691e-01 3.968519900004151280e-02
1.649999999999999911e+00 9.751344000000000678e-01 -2.406356800000000021e+03 2.971447089131104558e-01 5.541092751510497127e-02
1.699999999999999956e+00 9.700588799999999567e-01 -2.368338000000000193e+03 3.350372074735206152e-01 6.589679600942170701e-02
1.750000000000000000e+00 9.630755199999999627e-01 -2.340114000000000033e+03 3.983743498451855491e-01 1.014926145463073415e-01
1.800000000000000044e+00 9.571308800000000172e-01 -2.316469999999999800e+03 4.433137283952515162e-01 1.147410077865908123e-01
1.850000000000000089e+00 9.491033600000000625e-01 -2.286109599999999773e+03 4.812684004514908853e-01 1.396425096993996751e-01
1.899999999999999911e+00 9.387638400000000161e-01 -2.308815999999999804e+03 5.270733934628500927e-01 1.683332119915763869e-01
1.949999999999999956e+00 9.266655999999998672e-01 -2.186167199999999866e+03 6.300868772272998353e-01 2.420076668718867119e-01
2.000000000000000000e+00 9.159299199999999530e-01 -2.252612399999999980e+03 6.954231064960360031e-01 2.945567052480002612e-01
2.049999999999999822e+00 8.922655999999998810e-01 -2.180839199999999892e+03 8.252586197207755214e-01 6.310216148293594784e-01
2.100000000000000089e+00 8.686812800000000001e-01 -2.187338400000000092e+03 9.802991330390479208e-01 1.254931881417174822e+00
2.149999999999999911e+00 8.272412799999999677e-01 -2.034271600000000035e+03 1.148533627583311567e+00 1.515735318593509406e+00
2.200000000000000178e+00 7.854636799999999974e-01 -2.040135600000000068e+03 1.376675706657865650e+00 3.186168975243648838e+00
2.250000000000000000e+00 7.611184000000000838e-01 -1.996241600000000062e+03 1.305265502637698249e+00 2.249717048177748424e+00
2.299999999999999822e+00 6.146076799999999896e-01 -1.865087199999999939e+03 1.876734184093900470e+00 1.345798285353740908e+01
2.350000000000000089e+00 5.903692799999999963e-01 -1.844453600000000051e+03 1.412016455457457464e+00 6.722566829862118176e+00
2.399999999999999911e+00 3.559798399999999918e-01 -1.564761600000000044e+03 1.226170434844421342e+00 1.029987042749333526e+01
2.450000000000000178e+00 2.613222399999999834e-01 -1.423487200000000030e+03 9.829289625748921511e-01 8.371560400352651143e+00
2.500000000000000000e+00 2.251299200000000389e-01 -1.445439599999999928e+03 8.635472772710919287e-01 6.747858228198396091e+00
2.549999999999999822e+00 2.019875200000000037e-01 -1.406584000000000060e+03 7.505667405459501840e-01 4.642000652021962104e+00
2.600000000000000089e+00 2.048499200000000187e-01 -1.273045200000000023e+03 7.189048892212756003e-01 4.650372816344610527e+00
2.649999999999999911e+00 1.860419199999999995e-01 -1.206362800000000107e+03 7.089884858463064710e-01 3.787790800640001176e+00
2.700000000000000178e+00 1.534559999999999813e-01 -1.255171199999999999e+03 5.750492818787468208e-01 2.991478459259261591e+00
2.750000000000000000e+00 1.342639999999999945e-01 -1.138873199999999997e+03 5.529516898930565416e-01 2.337392625454545403e+00
2.799999999999999822e+00 1.461747199999999802e-01 -1.206301600000000008e+03 5.434034770285730565e-01 2.740892671634289623e+00
2.850000000000000089e+00 1.292425600000000063e-01 -1.097913199999999961e+03 5.165073936862114579e-01 1.954268571194385018e+00
2.899999999999999911e+00 1.153132799999999902e-01 -1.088466400000000021e+03 4.547321133964056239e-01 1.566290861991725070e+00
2.950000000000000178e+00 1.130595199999999967e-01 -1.093001999999999953e+03 4.313906663142977327e-01 1.470523385035932717e+00
